ID_CATEGORIA;NOMBRE_CATEGORIA;DESCRIPCION_CATEGORIA;ID_PRODUCTO
1;DVR;Categorizar DVR;29
2;CAMARAS;Categorizar Camara;1
3;CABLES;Categorizar Cables;26
4;CAMARAS;Categorizar Camara;1
5;RACKS;Categorizar Rack;34
6;CAMARAS;Categorizar Camara;12
7;CAMARAS;Categorizar Camara;13
8;CAMARAS;Categorizar Camara;1
9;CAMARAS;Categorizar Camara;2
10;CABLES;Categorizar Cables;27
11;ADAPTADORES;Categorizar Adaptador;33
12;RACKS;Categorizar Rack;34
13;CAMARAS;Categorizar Camara;14
14;RACKS;Categorizar Rack;34
15;RACKS;Categorizar Rack;34
16;RACKS;Categorizar Rack;34
17;RACKS;Categorizar Rack;34
18;CAMARAS;Categorizar Camara;15
19;CAMARAS;Categorizar Camara;3
20;CABLES;Categorizar Cables;26
21;CAMARAS;Categorizar Camara;4
22;CAMARAS;Categorizar Camara;5
23;CAMARAS;Categorizar Camara;6
24;CAMARAS;Categorizar Camara;7
25;CAMARAS;Categorizar Camara;8
26;CAMARAS;Categorizar Camara;9
27;CAMARAS;Categorizar Camara;10
28;CAMARAS;Categorizar Camara;16
29;DISCO DURO;Catgorizar Disco Duro;28
30;CAMARAS;Categorizar Camara;11
31;CABLES;Categorizar Cables;27
32;CABLES;Categorizar Cables;27
33;DISCO DURO;Catgorizar Disco Duro;28
